State,Labels,Assignees,Comments,Closed_At,Created_At,Locked
open,"[{'id': 4832896136, 'node_id': 'LA_kwDOAv1ihc8AAAABIBAkiA', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/build-pr-jar', 'name': 'build-pr-jar', 'color': '8713EA', 'default': False, 'description': 'Enables a workflow to build Paperclip jars on the pull request.'}]",0,0,,2023-03-21T23:53:48Z,False
open,[],0,6,,2023-03-21T22:33:22Z,False
closed,[],0,1,2023-03-21T22:26:58Z,2023-03-21T22:26:43Z,False
open,"[{'id': 316135203, 'node_id': 'MDU6TGFiZWwzMTYxMzUyMDM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20feature', 'name': 'type: feature', 'color': '75c2a2', 'default': False, 'description': 'Request for a new Feature.'}, {'id': 2296133455, 'node_id': 'MDU6TGFiZWwyMjk2MTMzNDU1', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20needs%20triage', 'name': 'status: needs triage', 'color': 'ffe0cb', 'default': False, 'description': ''}]",0,0,,2023-03-21T21:38:50Z,False
open,[],0,0,,2023-03-21T14:29:44Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 314954734, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzQ=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/resolution:%20duplicate', 'name': 'resolution: duplicate', 'color': 'b25a52', 'default': False, 'description': 'Issue or Request is a copy of an existing ticket.'}]",0,2,2023-03-21T13:58:32Z,2023-03-21T13:35:39Z,False
open,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}, {'id': 2296149021, 'node_id': 'MDU6TGFiZWwyMjk2MTQ5MDIx', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/upstream:%20spigot', 'name': 'upstream: spigot', 'color': 'dbf7a3', 'default': False, 'description': 'Issues exists in Spigot.'}]",0,0,,2023-03-21T09:09:44Z,False
open,"[{'id': 2296149021, 'node_id': 'MDU6TGFiZWwyMjk2MTQ5MDIx', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/upstream:%20spigot', 'name': 'upstream: spigot', 'color': 'dbf7a3', 'default': False, 'description': 'Issues exists in Spigot.'}, {'id': 2296150667, 'node_id': 'MDU6TGFiZWwyMjk2MTUwNjY3', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/upstream:%20bukkit', 'name': 'upstream: bukkit', 'color': 'dbf7a3', 'default': False, 'description': 'Issues exists in Bukkit and/or CraftBukkit.'}]",0,0,,2023-03-20T23:48:26Z,False
closed,[],0,4,2023-03-20T21:17:25Z,2023-03-20T19:52:32Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 2296133455, 'node_id': 'MDU6TGFiZWwyMjk2MTMzNDU1', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20needs%20triage', 'name': 'status: needs triage', 'color': 'ffe0cb', 'default': False, 'description': ''}]",0,2,2023-03-20T16:50:42Z,2023-03-20T16:19:12Z,False
open,[],0,1,,2023-03-20T13:16:05Z,False
closed,[],0,0,2023-03-20T09:11:24Z,2023-03-20T06:28:12Z,False
closed,"[{'id': 2296150667, 'node_id': 'MDU6TGFiZWwyMjk2MTUwNjY3', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/upstream:%20bukkit', 'name': 'upstream: bukkit', 'color': 'dbf7a3', 'default': False, 'description': 'Issues exists in Bukkit and/or CraftBukkit.'}]",0,0,2023-03-20T08:47:11Z,2023-03-20T05:50:45Z,False
closed,[],0,0,2023-03-20T08:23:53Z,2023-03-20T03:58:21Z,False
open,[],0,0,,2023-03-20T03:38:07Z,False
open,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 2296133455, 'node_id': 'MDU6TGFiZWwyMjk2MTMzNDU1', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20needs%20triage', 'name': 'status: needs triage', 'color': 'ffe0cb', 'default': False, 'description': ''}]",0,3,,2023-03-20T03:12:38Z,False
open,[],0,0,,2023-03-19T22:43:00Z,False
closed,[],0,0,2023-03-20T08:18:07Z,2023-03-19T22:12:25Z,False
closed,[],0,0,2023-03-19T18:25:45Z,2023-03-19T18:11:50Z,False
open,[],0,5,,2023-03-19T14:03:08Z,False
open,[],0,2,,2023-03-19T02:27:38Z,False
closed,[],0,1,2023-03-19T02:20:03Z,2023-03-19T02:19:49Z,False
closed,[],0,0,2023-03-19T19:28:28Z,2023-03-18T22:04:50Z,False
open,[],0,1,,2023-03-18T21:43:07Z,False
closed,[],0,0,2023-03-19T14:50:13Z,2023-03-18T19:43:13Z,False
closed,[],0,0,2023-03-18T19:03:42Z,2023-03-18T18:44:13Z,False
open,[],0,2,,2023-03-18T14:07:51Z,False
open,[],0,0,,2023-03-17T22:03:25Z,False
closed,[],0,1,2023-03-17T22:00:47Z,2023-03-17T22:00:35Z,False
closed,[],0,0,2023-03-19T18:58:34Z,2023-03-17T21:32:32Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 2133227401, 'node_id': 'MDU6TGFiZWwyMTMzMjI3NDAx', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/resolution:%20works-as-intended', 'name': 'resolution: works-as-intended', 'color': 'b25a52', 'default': False, 'description': 'Working as it should / expected to'}]",0,5,2023-03-17T20:26:26Z,2023-03-17T20:20:40Z,False
closed,[],0,0,2023-03-17T20:04:06Z,2023-03-17T18:55:29Z,False
closed,[],0,0,2023-03-17T18:23:16Z,2023-03-17T16:58:24Z,False
closed,[],0,0,2023-03-18T17:05:05Z,2023-03-17T02:39:45Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}]",0,8,2023-03-17T18:23:17Z,2023-03-16T21:30:41Z,False
closed,"[{'id': 314954737, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3Mzc=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/resolution:%20invalid', 'name': 'resolution: invalid', 'color': 'b25a52', 'default': False, 'description': 'Issue or Request has no basis.'}, {'id': 316135203, 'node_id': 'MDU6TGFiZWwzMTYxMzUyMDM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20feature', 'name': 'type: feature', 'color': '75c2a2', 'default': False, 'description': 'Request for a new Feature.'}]",0,2,2023-03-16T20:38:49Z,2023-03-16T20:21:22Z,False
open,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}, {'id': 4209696651, 'node_id': 'LA_kwDOAv1ihc766t-L', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/version:%201.19', 'name': 'version: 1.19', 'color': 'a49ebb', 'default': False, 'description': 'Game version 1.19'}]",0,0,,2023-03-16T17:14:11Z,False
closed,[],0,0,2023-03-16T16:06:41Z,2023-03-16T16:01:55Z,False
closed,[],0,1,2023-03-16T15:59:07Z,2023-03-16T15:58:53Z,False
closed,[],0,0,2023-03-16T18:47:06Z,2023-03-16T15:37:58Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}, {'id': 4209696651, 'node_id': 'LA_kwDOAv1ihc766t-L', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/version:%201.19', 'name': 'version: 1.19', 'color': 'a49ebb', 'default': False, 'description': 'Game version 1.19'}]",1,2,2023-03-16T15:29:28Z,2023-03-16T14:53:03Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 314954737, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3Mzc=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/resolution:%20invalid', 'name': 'resolution: invalid', 'color': 'b25a52', 'default': False, 'description': 'Issue or Request has no basis.'}]",0,6,2023-03-16T19:31:21Z,2023-03-16T12:20:06Z,False
open,"[{'id': 316135203, 'node_id': 'MDU6TGFiZWwzMTYxMzUyMDM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20feature', 'name': 'type: feature', 'color': '75c2a2', 'default': False, 'description': 'Request for a new Feature.'}, {'id': 2290924626, 'node_id': 'MDU6TGFiZWwyMjkwOTI0NjI2', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/good%20first%20issue', 'name': 'good first issue', 'color': '1dc12a', 'default': True, 'description': 'Simple bug fix or feature which would be a good first PR for someone new to the project'}]",0,1,,2023-03-16T11:53:34Z,False
closed,[],0,0,2023-03-16T15:32:06Z,2023-03-16T01:32:06Z,False
