State,Labels,Assignees,Comments,Closed_At,Created_At,Locked
open,[],0,0,,2022-11-12T15:30:36Z,False
open,[],0,0,,2022-11-02T11:15:14Z,False
open,[],0,0,,2022-11-01T20:31:16Z,False
open,[],0,0,,2022-10-20T16:17:16Z,False
closed,[],0,1,2022-10-07T22:03:44Z,2022-10-05T12:29:15Z,False
open,[],0,0,,2022-10-02T22:19:27Z,False
open,[],0,0,,2022-06-28T19:05:11Z,False
open,[],0,0,,2022-06-28T18:08:26Z,False
open,[],0,0,,2022-05-02T17:41:40Z,False
open,[],0,0,,2022-05-01T06:10:57Z,False
open,[],0,0,,2022-04-30T22:32:49Z,False
open,[],0,1,,2022-04-30T15:14:42Z,False
closed,[],0,1,2022-03-17T23:32:43Z,2022-03-17T23:28:31Z,False
closed,[],0,2,2022-01-29T15:40:00Z,2022-01-28T21:29:25Z,False
closed,[],0,2,2022-01-29T22:36:46Z,2022-01-28T03:32:11Z,False
closed,[],0,0,2022-01-26T01:20:13Z,2022-01-26T01:20:05Z,False
open,[],0,1,,2022-01-14T01:51:57Z,False
open,[],0,2,,2021-12-19T08:52:14Z,False
closed,[],0,1,2021-08-28T12:13:36Z,2021-08-27T23:05:18Z,False
closed,[],0,0,2022-02-26T19:56:12Z,2021-06-22T08:37:13Z,False
closed,[],0,0,2021-06-25T03:51:44Z,2021-05-29T06:24:41Z,False
closed,[],0,2,2021-05-14T14:38:00Z,2021-05-14T04:07:11Z,False
open,[],0,0,,2021-04-25T18:38:02Z,False
closed,[],0,1,2021-07-07T17:51:40Z,2021-04-17T19:48:18Z,False
closed,[],0,1,2021-03-17T13:26:22Z,2021-03-12T21:51:47Z,False
open,[],0,2,,2021-02-18T20:04:34Z,False
closed,[],0,1,2021-01-27T19:20:35Z,2021-01-27T19:15:23Z,False
closed,[],0,1,2021-01-28T22:45:20Z,2021-01-26T21:56:41Z,False
closed,[],0,1,2021-01-25T16:33:25Z,2021-01-25T03:49:38Z,False
closed,[],0,0,2021-01-25T16:33:36Z,2021-01-25T03:48:03Z,False
closed,[],0,1,2021-01-25T16:33:45Z,2021-01-18T22:09:43Z,False
closed,[],0,1,2021-01-25T17:49:50Z,2021-01-05T02:06:44Z,False
closed,[],0,1,2021-01-25T16:34:57Z,2020-11-22T02:57:32Z,False
closed,[],0,0,2021-01-25T16:35:14Z,2020-11-20T15:12:39Z,False
closed,[],0,0,2021-01-25T16:35:29Z,2020-11-15T20:02:42Z,False
closed,[],0,3,2021-01-25T16:35:42Z,2020-05-31T15:51:27Z,False
closed,[],0,1,2020-05-20T22:07:32Z,2020-05-20T22:05:58Z,False
closed,[],0,5,2020-05-20T12:13:17Z,2020-05-17T16:39:31Z,False
closed,[],0,1,2021-01-25T16:36:34Z,2020-01-30T18:35:46Z,False
closed,[],0,1,2021-01-25T17:12:26Z,2020-01-29T19:25:28Z,False
closed,[],0,1,2021-01-25T16:37:02Z,2020-01-28T21:13:45Z,False
closed,[],0,1,2021-01-25T16:37:47Z,2020-01-28T21:08:25Z,False
closed,[],0,1,2021-01-25T16:58:52Z,2019-11-13T21:00:44Z,False
closed,[],0,6,2021-01-25T16:38:38Z,2019-09-03T14:01:09Z,False
open,[],0,0,,2019-08-29T17:37:28Z,False
open,[],0,0,,2019-03-23T21:26:05Z,False
closed,[],0,1,2021-01-25T16:46:45Z,2017-08-19T20:12:09Z,False
closed,[],0,2,2021-01-25T16:48:13Z,2017-05-04T19:45:51Z,False
closed,[],0,7,2021-01-25T16:44:00Z,2017-04-13T16:19:39Z,False
closed,[],0,6,2021-01-25T16:44:41Z,2017-04-02T00:31:14Z,False
closed,[],0,2,2016-11-18T19:31:31Z,2016-11-17T13:24:27Z,False
